time,cycle number,marker,delc_var_det1_HbO2,delc_var_det1_HHb,delc_var_det1_ox-redCCO,delc_var_det1_HbT,delc_INvar_det1_HbO2,delc_INvar_det1_HHb,delc_INvar_det1_ox-redCCO,delc_INvar_det1_HbT,delc_var_det2_HbO2,delc_var_det2_HHb,delc_var_det2_ox-redCCO,delc_var_det2_HbT,delc_INvar_det2_HbO2,delc_INvar_det2_HHb,delc_INvar_det2_ox-redCCO,delc_INvar_det2_HbT,delc_INvar_det3_HbO2,delc_INvar_det3_HHb,delc_INvar_det3_ox-redCCO,delc_INvar_det3_HbT,delc_INvar_det4_HbO2,delc_INvar_det4_HHb,delc_INvar_det4_ox-redCCO,delc_INvar_det4_HbT,SRS kHbO2,SRS kHHb,SRS kHbT,SRS TOI,delc_var_det1_Hbdiff,delc_INvar_det1_Hbdiff,delc_var_det2_Hbdiff,delc_INvar_det2_Hbdiff,delc_INvar_det3_Hbdiff,delc_INvar_det4_Hbdiff,DPF 690,DPF 750,DPF 790,DPF 850,Us 690,Us 750,Us 790,Us 850,Ua 690,Ua 750,Ua 790,Ua 850,MDFD_abs_C_HbO2,MDFD_abs_C_HHb,MDFD_abs_C_HbT,MDFD_StO2,MDFD_delta_C_HbO2,MDFD_delta_C_HHb,MDFD_delta_C_HbT,time (s),TCD mean velocity,TCD mean BP,TCD mean SpO2,TCD mean maxCO2,TCD mean minCO2,TF mean maxO2,TF mean minO2,TF mean maxCO2,TF mean minCO2,HR (bpm),SpO2 ,etCO? ,FIO2 ,end challenge
1481.6,736,15,-2.87641293,0.712784575,-0.293016417,-2.163628355,-2.867802345,0.708485887,-0.294065657,-2.159316458,-3.212975206,0.104286892,-0.046517213,-3.108688313,-3.203674483,0.099808356,-0.046504022,-3.103866127,-6.465112823,-0.293991868,-0.313807591,-6.759104691,-10.53293412,-0.999819913,-0.890703466,-11.53275404,55.03573926,467.5116242,522.5473634,0.105420275,-3.589197506,-3.576288232,-3.317262098,-3.303482839,-6.171120955,-9.533114211,9.728914532,8.168914493,9.0841192,8.371482089,11.29135547,9.441091983,10.83965667,10.98147253,0.089471203,0.106111625,0.098519656,0.117520572,21.55963849,14.98199123,36.54162972,59.02716427,-0.457363165,0.815961431,0.358598266,1484.8,80.24129537,0,97.61057691,5.515587917,0.007909668,20.79329221,15.35630964,5.457139631,0.004556486,76.45296804,98.10816392,5.391663502,0.210000023,
1484.8,737,15,-2.708100304,0.698740172,-0.248059341,-2.009360131,-2.698292963,0.691874612,-0.250502609,-2.006418351,-3.029153579,0.037227426,0.006284685,-2.991926153,-3.018716599,0.032502302,0.004478446,-2.986214297,-6.16713157,-0.233716138,-0.255977267,-6.400847708,-10.17463371,-1.330485272,-0.671906529,-11.50511899,55.43970254,468.0065263,523.4462289,0.106001974,-3.406840476,-3.390167575,-3.066381006,-3.051218901,-5.933415432,-8.844148442,9.688070807,8.003569011,9.060385968,8.274489914,11.20958263,9.205478761,10.78909106,10.87382288,0.089569657,0.107786366,0.098570108,0.119131025,22.02614571,15.01594889,37.0420946,59.41526934,0.009144053,0.84991909,0.859063143,1488,81.46098149,0,97.44051483,5.491911627,0.009118657,20.82452322,15.34741638,5.426181505,0.003496201,74.84783393,97.95484628,5.39390028,0.210000014,
1488,738,15,-2.701192105,0.751977234,-0.241325467,-1.94921487,-2.691243976,0.744601408,-0.243833566,-1.946642568,-3.053030083,-0.082919439,0.095626045,-3.135949522,-3.041236276,-0.085366365,0.092113409,-3.126602641,-6.087698302,-0.161741759,-0.237749332,-6.249440061,-10.17615836,-1.642099627,-0.465142264,-11.81825798,54.7951801,468.4675035,523.2626836,0.104845707,-3.453169339,-3.435845385,-2.970110643,-2.955869911,-5.925956544,-8.534058729,9.638613703,7.902617006,9.060744229,8.205636841,11.16562508,9.086459891,10.75054711,10.78003101,0.090144321,0.109105417,0.098214935,0.120078887,22.13644398,15.16170129,37.29814528,59.28764007,0.119442328,0.995671494,1.115113822,1491.2,79.32583289,0,97.23791853,5.463986982,0.00797811,20.84806495,15.33476227,5.427196393,0.00220277,72.5990382,97.87645147,5.41906604,0.209999989,
1491.2,739,15,-2.718031927,0.773143345,-0.239713874,-1.944888582,-2.709840574,0.767903167,-0.241400001,-1.941937406,-3.091373319,-0.088070097,0.119008959,-3.179443416,-3.080520447,-0.088819275,0.115733888,-3.169339722,-6.001350986,-0.074864142,-0.286660071,-6.076215128,-10.09401429,-1.475173895,-0.540286911,-11.56918818,53.71804526,469.186103,522.9041483,0.102935704,-3.491175271,-3.477743741,-3.003303222,-2.991701173,-5.926486844,-8.618840394,9.588934405,7.939561312,9.081220649,8.218355935,11.15433537,9.167287017,10.74761578,10.74199781,0.090995312,0.109062532,0.097754712,0.119282284,21.64697534,15.37922784,37.02620317,58.47497768,-0.370026317,1.213198038,0.843171721,1494.4,77.94523194,0,97.23616497,5.45229821,0.00197638,20.83762386,15.3398992,5.438460421,0.002529822,72.38967134,97.91927429,5.460846282,0.209999991,
1494.4,740,15,-2.604648193,0.768703847,-0.228929254,-1.835944345,-2.601340234,0.766889849,-0.229438771,-1.834450384,-2.922861029,0.026950859,0.05476685,-2.895910171,-2.918004513,0.026412373,0.053876613,-2.89159214,-5.644003999,0.03279981,-0.3809918,-5.611204189,-9.525902552,-1.072507348,-0.815963357,-10.5984099,52.1930799,471.4568412,523.6499211,0.100013065,-3.37335204,-3.368230083,-2.949811888,-2.944416885,-5.676803809,-8.453395204,9.563591813,8.034765927,9.112756307,8.256729101,11.1476853,9.2934581,10.75655527,10.74425472,0.091422179,0.1079819,0.097166098,0.118196937,21.13319039,15.45880225,36.59199264,57.85356001,-0.883811264,1.292772449,0.408961185,1497.6,79.0267037,0,97.30755371,5.462709163,-0.001045184,20.80622516,15.37165406,5.439767415,0.003763904,72.71052576,98.01685572,5.495603518,0.210000005,
1497.6,741,15,-2.458898216,0.773827853,-0.237145866,-1.685070362,-2.459169714,0.772501632,-0.236980759,-1.686668082,-2.724511472,0.101583214,-0.00782782,-2.622928258,-2.724522958,0.100502278,-0.007225035,-2.62402068,-5.332942564,0.076189025,-0.435968166,-5.256753539,-9.01052254,-1.091447559,-0.914354126,-10.1019701,51.26325853,473.2027825,524.466041,0.098163171,-3.232726069,-3.231671347,-2.826094686,-2.825025237,-5.40913159,-7.919074981,9.5912966,8.084774969,9.122818416,8.242369591,11.16139021,9.318968695,10.74570982,10.76427791,0.091005442,0.106934992,0.096851935,0.118847809,21.36099339,15.25290646,36.61389985,58.38742877,-0.656008261,1.086876659,0.430868398,1500.8,78.96815811,0,97.22534163,5.4842173,0.001913607,20.78830295,15.39621466,5.434408401,0.004208874,71.13650664,98.06085021,5.506334191,0.210000005,
1500.8,742,15,-2.455343893,0.792025419,-0.281248518,-1.663318474,-2.453438772,0.786463609,-0.281538966,-1.666975163,-2.778853493,0.087522753,-0.010989474,-2.69133074,-2.775885446,0.084971062,-0.011758772,-2.690914384,-5.514930033,-0.041720525,-0.371009086,-5.556650558,-9.27385411,-1.575377335,-0.680339101,-10.84923144,52.56090128,471.1600021,523.7209033,0.100671827,-3.247369312,-3.23990238,-2.866376246,-2.860856509,-5.473209508,-7.698476775,9.677572601,8.06488623,9.092091657,8.193835652,11.25065379,9.269051179,10.71578228,10.80670638,0.090097642,0.106880312,0.097229997,0.120737863,22.16891928,14.93711166,37.10603095,59.65133617,0.151917628,0.771081866,0.922999493,1504,77.03477908,0,97.04137706,5.503288793,0.00435816,20.80298454,15.37852133,5.431761486,0.003458273,70.07281976,98.01157987,5.500934937,0.209999998,
1504,743,15,-2.562286664,0.847459035,-0.331841316,-1.714827628,-2.555721175,0.837119676,-0.333140215,-1.7186015,-2.987869688,0.066084362,0.014648942,-2.921785326,-2.978645772,0.061418752,0.011851074,-2.91722702,-5.983435576,-0.296352408,-0.207551792,-6.279787984,-10.01730163,-1.914136438,-0.38949929,-11.93143807,55.15324308,467.460734,522.6139771,0.105624563,-3.409745699,-3.392840851,-3.053954049,-3.040064524,-5.687083168,-8.103165194,9.789461553,8.029734273,9.053531806,8.191488821,11.40519069,9.247197343,10.68954117,10.86081804,0.08924903,0.10756207,0.097810056,0.121410617,22.60829595,14.78528866,37.39358461,60.31271105,0.591294292,0.619258864,1.210553156,1507.2,77.8637985,0,96.96129564,5.513146304,0.003031189,20.83277527,15.34475587,5.430653432,0.002231474,73.04080021,97.92664302,5.497160132,0.209999997,
1507.2,744,15,-2.617986362,0.970378272,-0.365927005,-1.647608091,-2.610551964,0.959538114,-0.367354483,-1.65101385,-3.052780893,0.022340351,0.040048315,-3.030440542,-3.042967704,0.01745786,0.037330059,-3.025509845,-6.191030151,-0.519076909,-0.074887706,-6.71010706,-10.3265057,-1.803400147,-0.371762333,-12.12990585,56.0173066,467.5790509,523.5963575,0.107041356,-3.588364634,-3.570090078,-3.075121244,-3.060425564,-5.671953242,-8.523105555,9.858088437,8.037668623,9.052952506,8.252463196,11.5027492,9.277289642,10.67997406,10.88232892,0.08876326,0.107706154,0.09773745,0.119889095,22.19142527,14.83240868,37.02383394,59.84788206,0.174423613,0.666378878,0.840802491,1510.4,82.41881275,0,97.02753871,5.514692532,0.002394369,20.83396967,15.34281535,5.430707447,0.001378757,77.72894331,97.88017169,5.499616947,0.210000001,
1510.4,745,15,-2.592799597,1.096328873,-0.400427556,-1.496470724,-2.590391594,1.09004025,-0.400170273,-1.500351344,-2.970636842,-0.109863679,0.071543761,-3.080500522,-2.967285692,-0.111078461,0.070803273,-3.078364153,-6.108404493,-0.512858712,-0.090515956,-6.621263205,-10.04578128,-1.574314918,-0.611663814,-11.62009619,54.53272878,471.5043593,526.0370881,0.103887656,-3.68912847,-3.680431844,-2.860773163,-2.856207231,-5.595545781,-8.471466358,9.826264898,8.069644671,9.097777517,8.314805228,11.44359452,9.287888941,10.69615104,10.86893041,0.088892364,0.106998425,0.096928612,0.117947937,21.42119923,14.96009636,36.38129559,58.91571091,-0.595802422,0.794066563,0.198264141,1513.6,84.59614994,0,97.12296384,5.515712963,0.004953285,20.78580707,15.34286844,5.440957633,0.001567264,78.81776741,97.88732312,5.501431801,0.210000002,
1513.6,746,16,-2.615627933,1.096308768,-0.430907764,-1.519319165,-2.621740618,1.097494696,-0.428072094,-1.524245922,-2.993313773,-0.215024797,0.087932018,-3.20833857,-2.998408742,-0.211286633,0.089468596,-3.209695374,-6.157294705,-0.274116986,-0.227237313,-6.431411691,-9.908763062,-1.515690915,-0.828872272,-11.42445398,53.32001456,473.5880929,526.9081074,0.101505127,-3.711936702,-3.719235314,-2.778288976,-2.787122109,-5.883177719,-8.393072147,9.722265852,8.0570066,9.160145691,8.328376879,11.29836276,9.236393008,10.75367535,10.88309039,0.089666221,0.106763197,0.096110153,0.117706031,21.06317691,15.10979733,36.17297424,58.33713752,-0.953824747,0.943767531,-0.010057215,1516.8,80.83360725,0,97.16684656,5.522415329,0.005659103,20.73067113,15.2692362,5.460690671,0.002805169,75.93181106,97.91356145,5.499861034,0.21,
1516.8,747,16,-2.758015062,0.949581243,-0.399626958,-1.808433819,-2.769180947,0.955995734,-0.396340502,-1.813185214,-3.165294239,-0.114246099,0.047972459,-3.279540338,-3.174612238,-0.109839202,0.050735254,-3.28445144,-6.429675911,-0.082115288,-0.328617619,-6.5117912,-10.29094367,-1.456345427,-0.865899212,-11.7472891,53.78588531,471.9296907,525.715576,0.102572028,-3.707596305,-3.725176681,-3.05104814,-3.064773035,-6.347560623,-8.834598242,9.648997543,7.996200663,9.190969915,8.301412438,11.22928291,9.189405727,10.83158788,10.94004096,0.09046973,0.107841956,0.096151453,0.119074998,21.3330265,15.23762199,36.57064849,58.39206689,-0.683975154,1.071592195,0.387617041,1520,76.24680822,0,97.17707283,5.524325278,0.001454817,20.72612621,15.14887928,5.4654573,0.004126423,72.92243197,97.91646436,5.49914418,0.209999999,
1520,748,16,-2.930029733,0.80092194,-0.288572921,-2.129107794,-2.934209244,0.803467827,-0.289157188,-2.130741417,-3.255682871,0.102268566,-0.026024557,-3.153414304,-3.259915566,0.101454507,-0.024528621,-3.158461059,-6.585930429,-0.186711427,-0.294092878,-6.772641856,-10.66223626,-1.184294385,-0.85005104,-11.84653064,54.04909634,471.2197435,525.2688399,0.103149676,-3.730951673,-3.737677071,-3.357951437,-3.361370073,-6.399219002,-9.477941872,9.667055018,7.960064172,9.144896845,8.272892583,11.28328862,9.223872679,10.85499274,10.96807843,0.09055752,0.109182443,0.097364639,0.120166508,21.83347718,15.26550566,37.09898285,58.82618401,-0.183524471,1.099475866,0.915951395,1523.2,76.32806081,0,97.21385187,5.497473264,-0.000587235,20.75642988,15.11077111,5.433067305,0.004877673,71.41993666,97.87277313,5.500857079,0.21,
1523.2,749,16,-3.012373587,0.787261417,-0.183393576,-2.22511217,-2.999508664,0.777660551,-0.18963651,-2.221848113,-3.161442805,0.163157632,-0.057834594,-2.998285173,-3.152983308,0.156638867,-0.060026529,-2.996344441,-6.482852384,-0.428134443,-0.207254499,-6.910986826,-10.52000326,-0.819906704,-0.951913898,-11.33990997,52.61343146,474.2997466,526.9131781,0.100247373,-3.799635004,-3.777169215,-3.324600437,-3.309622175,-6.054717941,-9.700096558,9.732710346,7.980070434,9.044157669,8.279048978,11.36614449,9.296114174,10.78723525,10.94831229,0.089994429,0.109466093,0.098935641,0.119771336,22.05366081,15.19983391,37.25349471,59.1374677,0.03665915,1.03380411,1.070463259,1526.4,78.78112267,0,97.31707566,5.434573605,0.003138432,20.75916437,15.19934571,5.376976358,0.005757254,71.23524804,97.8086757,5.50085532,0.21,
1526.4,750,16,-2.955660319,0.852970474,-0.163253332,-2.102689845,-2.931807091,0.834746902,-0.171713839,-2.097060189,-3.027880721,0.040105563,-0.027415066,-2.987775159,-3.01025019,0.032982309,-0.032600792,-2.977267881,-6.303111875,-0.417895967,-0.208565535,-6.721007843,-10.07212158,-0.558814743,-1.128998465,-10.63093633,51.35489368,477.0564574,528.4113511,0.0976796,-3.808630792,-3.766553993,-3.067986284,-3.043232498,-5.885215908,-9.513306841,9.775045664,8.009812769,8.982095845,8.322595736,11.40129173,9.307846532,10.7018378,10.96361198,0.089487699,0.108806375,0.099498556,0.118720465,21.90234793,15.13025546,37.03260339,59.09630838,-0.114653726,0.964225666,0.84957194,1529.6,79.32374308,0,97.4284966,5.363599737,0.001173132,20.73960846,15.3122511,5.333794777,0.007021929,73.52378894,97.80222316,5.497987315,0.21,
1529.6,751,16,-2.757908164,0.837717171,-0.192347273,-1.920190993,-2.740096576,0.822488556,-0.198421619,-1.91760802,-2.93880941,-0.006196383,-0.003334325,-2.945005793,-2.924204458,-0.010939528,-0.007901661,-2.935143986,-6.107056459,-0.100596814,-0.29289778,-6.207653273,-9.703571119,-0.441683561,-1.195265165,-10.14525468,52.67227669,475.1289553,527.801232,0.100183096,-3.595625335,-3.562585132,-2.932613026,-2.913264931,-6.006459645,-9.261887559,9.771265812,8.021950267,9.008535826,8.352272323,11.39201052,9.270696056,10.69353739,11.02371389,0.089484475,0.108051249,0.098832988,0.118552652,21.73760037,15.09070526,36.82830563,58.99733115,-0.279401285,0.924675462,0.645274177,1532.8,78.7488683,0,97.40294816,5.32224804,-0.010396245,20.75810224,15.36157026,5.321640583,0.007003907,76.78106535,97.89790909,5.498433951,0.21,
1532.8,752,16,-2.525512192,0.749036986,-0.210880999,-1.776475206,-2.520672351,0.741121676,-0.213817712,-1.779550675,-2.858505392,0.154618871,-0.039084704,-2.703886521,-2.853167317,0.149170619,-0.040507279,-2.703996698,-5.8655324,0.147429405,-0.340395334,-5.718102996,-9.525787969,-0.575264325,-1.051136054,-10.10105229,55.17065617,471.0655761,526.2362323,0.105017173,-3.274549178,-3.261794026,-3.013124264,-3.002337936,-6.012961805,-8.950523643,9.727157001,8.045511952,9.064795781,8.315401159,11.3464251,9.289661176,10.75864703,11.00529231,0.089939998,0.107630979,0.098194792,0.119404485,21.81222777,15.08093559,36.89316336,59.08659883,-0.204773888,0.914905797,0.710131909,1536,77.98421465,0,97.23642891,5.319923258,-0.010248718,20.79963086,15.36902792,5.329286086,0.004650893,75.35402961,98.01194948,5.50445479,0.21,
1536,753,16,-2.486883882,0.777196107,-0.244614791,-1.709687775,-2.485260224,0.769998375,-0.246428346,-1.715261849,-2.87358812,0.320681468,-0.088715554,-2.552906652,-2.871334879,0.311473394,-0.087865396,-2.559861485,-5.806672958,0.049284526,-0.311157546,-5.757388432,-9.617673444,-1.080762263,-0.794935538,-10.69843571,55.03914971,470.51435,525.5534997,0.104901216,-3.26407999,-3.2552586,-3.194269587,-3.182808273,-5.855957483,-8.536911181,9.66302874,8.085328434,9.080307943,8.247182952,11.27629633,9.389019051,10.82467463,10.87797768,0.090571343,0.107714364,0.09846924,0.119952686,21.90445616,15.15523248,37.05968864,59.06069509,-0.112545498,0.989202686,0.876657188,1539.2,74.50153716,0,97.19404003,5.337433686,0.011993561,20.78479168,15.37004446,5.341234189,0.001879488,69.31589129,97.99375889,5.504068827,0.21,
